CustomerID,TotalOrders,MinOrderValue,MaxOrderValue,AvgOrderValue,TotalSpent,UniqueProductsBought,DaysSinceLastPurchase,PurchaseFrequency,Category_0,Category_1,Category_2,Category_3,Category_4,Category_5
12346.0,2,-77183.6,77183.6,0.0,0.0,1,325,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0
12347.0,7,5.04,249.6,23.681318681318682,4310.0,103,1,3.5,0.0354292343387471,0.8257215777262181,0.011020881670533642,0.0,0.0674245939675174,0.060403712296983755
12348.0,4,13.2,240.0,57.97548387096774,1797.24,22,74,0.05333333333333334,0.0,0.7178340121519664,0.0,0.0,0.20885357548240635,0.0733124123656273
12349.0,1,6.64,300.0,24.076027397260273,1757.55,73,18,0.05263157894736842,0.10514636852436632,0.625205541805354,0.0,0.014508833319108988,0.15775938095644504,0.09737987539472562
12350.0,1,8.5,40.0,19.67058823529412,334.40000000000003,17,309,0.0032258064516129032,0.044856459330143546,0.8941387559808613,0.0,0.0,0.061004784688995214,0.0
12352.0,11,-376.5,376.5,16.267473684210525,1545.41,59,35,0.3055555555555556,0.03455393714289411,0.8330216576830742,0.0,0.0,0.06415773160520509,0.06826667356882639
12353.0,1,11.6,39.8,22.25,89.0,4,203,0.004901960784313725,0.0,0.447191011235955,0.0,0.0,0.5528089887640449,0.0
12354.0,1,8.5,54.08,18.610344827586207,1079.4,58,231,0.004310344827586207,0.11631461923290716,0.5384843431536038,0.07346674078191587,0.0,0.24171762090050022,0.030016675931072816
12355.0,1,17.700000000000003,120.0,35.338461538461544,459.40000000000003,13,213,0.004672897196261682,0.16652154984762732,0.7472790596430126,0.0,0.0,0.08619939050936003,0.0
12356.0,3,3.75,324.0,47.65135593220339,2811.43,53,22,0.13043478260869565,0.10727636825387792,0.4621349277769675,0.0,0.0,0.23706796896952795,0.1935207349996265
12357.0,1,10.08,237.6,47.38679389312977,6207.67,131,32,0.030303030303030304,0.06518387736461506,0.662453062098984,0.0,0.002793318588133712,0.19589958873458155,0.07367015321368565
12358.0,2,9.36,160.0,61.47684210526315,1168.06,13,1,1.0,0.012841806071605911,0.9436672773658887,0.0,0.0,0.04349091656250535,0.0
12359.0,6,-42.5,290.0,24.588700787401574,6245.53,214,7,0.75,0.03504906709278476,0.8606603442782278,0.04971555656605604,0.01279314966063729,0.03283948680096005,0.008942395601334075
12360.0,3,5.04,160.0,20.63612403100775,2662.06,105,51,0.057692307692307696,0.15376813445226634,0.7204683590903287,0.041396512475301094,0.0,0.0805353748600708,0.0038316191220333132
12361.0,1,15.0,23.4,18.990000000000002,189.9,10,286,0.003484320557491289,0.5560821484992101,0.18325434439178515,0.26066350710900477,0.0,0.0,0.0
